Module Name,Module Type,Port Name,Direction,Width,Index,Comment Source,Comment 
softdrink,Top_Level,clk,INPUT,1,-,-,-
softdrink,Top_Level,rstn,INPUT,1,-,module port,low active
softdrink,Top_Level,op_start,INPUT,1,-,module port,start option,high active
softdrink,Top_Level,cancel_flag,INPUT,1,-,module port,high active
softdrink,Top_Level,coin_val,INPUT,2,[1:0],module port,the value of the coin,2'b01=0.5,...
softdrink,Top_Level,hold_ind,OUTPUT,1,-,module port,index,high active
softdrink,Top_Level,charge_ind,OUTPUT,1,-,module port,high active
softdrink,Top_Level,drink_ind,OUTPUT,1,-,module port,high active
softdrink,Top_Level,charge_val,OUTPUT,3,[2:0],module port,3'b000=0,3'b001=0.5,3'b010=1,3'b...
